date,four_turbine_avg_power
2016-01-01,305.91718749999995
2016-01-02,228.81180555555557
2016-01-03,608.4972222222223
2016-01-04,1384.3782986111112
2016-01-05,1198.8060763888889
2016-01-06,47.893055555555556
2016-01-07,77.80885416666666
2016-01-08,284.5859375
2016-01-09,611.3585069444445
2016-01-10,945.743576388889
2016-01-11,1164.5942708333334
2016-01-12,140.0965277777778
2016-01-13,797.8300347222222
2016-01-14,162.01649305555554
2016-01-15,303.203125
2016-01-16,375.5680555555556
2016-01-17,1008.7175347222224
2016-01-18,43.9015625
2016-01-19,6.101736111111111
2016-01-20,149.64010416666667
2016-01-21,2.428993055555556
2016-01-22,122.30277777777776
2016-01-23,900.5571180555556
2016-01-24,485.64565972222226
2016-01-25,333.9206597222222
2016-01-26,23.635937499999997
2016-01-27,-3.249826388888889
2016-01-28,9.660590277777779
2016-01-29,15.87986111111111
2016-01-30,9.050173611111111
2016-01-31,71.24236111111111
2016-02-01,18.38888888888889
2016-02-02,61.91041666666667
2016-02-03,76.92743055555555
2016-02-04,1723.568402777778
2016-02-05,1421.4864583333333
2016-02-06,454.39201388888887
2016-02-07,846.5557291666667
2016-02-08,84.71944444444445
2016-02-09,547.9057291666667
2016-02-10,636.9524305555556
2016-02-11,927.6786458333333
2016-02-12,842.4600694444445
2016-02-13,1176.9111111111113
2016-02-14,1813.6687499999998
2016-02-15,991.3328124999999
2016-02-16,876.3013888888888
2016-02-17,121.67881944444444
2016-02-18,234.92777777777778
2016-02-19,750.4925347222222
2016-02-20,1665.8116319444443
2016-02-21,1431.6083333333333
2016-02-22,206.89965277777776
2016-02-23,77.57760416666666
2016-02-24,367.94947916666666
2016-02-25,374.8392361111111
2016-02-26,843.9807291666667
2016-02-27,1691.4093750000002
2016-02-28,1167.4039930555555
2016-02-29,147.84618055555555
2016-03-01,105.45885416666667
2016-03-02,68.34843749999999
2016-03-03,63.58003472222222
2016-03-04,174.64670138888889
2016-03-05,921.3583333333333
2016-03-06,298.7064236111111
2016-03-07,793.5668402777778
2016-03-08,142.84479166666668
2016-03-09,438.62413194444446
2016-03-10,440.61128472222225
2016-03-11,36.05121527777778
2016-03-12,77.01927083333334
2016-03-13,35.04791666666667
2016-03-14,52.55885416666667
2016-03-15,190.44826388888887
2016-03-16,224.06354166666665
2016-03-17,29.99930555555555
2016-03-18,48.263194444444444
2016-03-19,155.1112847222222
2016-03-20,119.97065972222224
2016-03-21,127.234375
2016-03-22,411.1730902777778
2016-03-23,193.21440972222223
2016-03-24,192.85225694444443
2016-03-25,173.69097222222223
2016-03-26,153.04027777777776
2016-03-27,123.50711805555557
2016-03-28,115.546875
2016-03-29,7.9296875
2016-03-30,112.18246527777778
2016-03-31,800.049826388889
2016-04-01,195.19895833333334
2016-04-02,50.243750000000006
2016-04-03,128.98246527777778
2016-04-04,1258.4102430555556
2016-04-05,805.6765625
2016-04-06,88.25295138888889
2016-04-07,68.99253472222222
2016-04-08,240.62465277777775
2016-04-09,107.97395833333333
2016-04-10,213.40920138888887
2016-04-11,414.3487847222222
2016-04-12,552.4730902777778
2016-04-13,207.96493055555555
2016-04-14,32.94895833333333
2016-04-15,338.72847222222225
2016-04-16,709.7265625
2016-04-17,178.26753472222222
2016-04-18,943.9295138888889
2016-04-19,974.7657986111111
2016-04-20,352.29774305555554
2016-04-21,33.260416666666664
2016-04-22,21.849131944444444
2016-04-23,93.56527777777778
2016-04-24,210.65017361111111
2016-04-25,347.1947916666667
2016-04-26,184.8501736111111
2016-04-27,76.43263888888889
2016-04-28,93.88194444444444
2016-04-29,937.6296874999999
2016-04-30,221.55642361111111
2016-05-01,855.6994791666667
2016-05-02,1803.8293402777776
2016-05-03,1843.2675347222223
2016-05-04,1629.756076388889
2016-05-05,1069.3309027777777
2016-05-06,384.734375
2016-05-07,155.8722222222222
2016-05-08,1231.6788194444443
2016-05-09,859.3227430555556
2016-05-10,649.3088541666667
2016-05-11,728.1623263888889
2016-05-12,945.7751736111111
2016-05-13,640.3046875
2016-05-14,182.99010416666667
2016-05-15,141.51875
2016-05-16,16.166493055555556
2016-05-17,1093.6178819444444
2016-05-18,471.16510416666665
2016-05-19,62.88333333333334
2016-05-20,590.5171875000001
2016-05-21,835.622048611111
2016-05-22,194.1612847222222
2016-05-23,479.4107638888888
2016-05-24,323.8491319444445
2016-05-25,181.10902777777778
2016-05-26,148.00364583333334
2016-05-27,112.73854166666666
2016-05-28,683.3454861111111
2016-05-29,234.87447916666667
2016-05-30,305.3149305555555
2016-05-31,54.41840277777778
2016-06-01,859.6468749999999
2016-06-02,465.8046875
2016-06-03,390.44218750000005
2016-06-04,312.41475694444443
2016-06-05,120.24062500000001
2016-06-06,63.21180555555556
2016-06-07,1130.5298611111111
2016-06-08,1286.1649305555557
2016-06-09,88.56006944444444
2016-06-10,316.00104166666665
2016-06-11,130.3125
2016-06-12,107.00746527777778
2016-06-13,243.68576388888889
2016-06-14,390.98055555555555
2016-06-15,1004.1901041666666
2016-06-16,610.5145833333333
2016-06-17,151.48125
2016-06-18,221.58159722222223
2016-06-19,683.9394097222222
2016-06-20,738.859375
2016-06-21,1612.1786458333333
2016-06-22,1622.5737847222222
2016-06-23,681.0717013888889
2016-06-24,296.6501736111111
2016-06-25,116.77708333333334
2016-06-26,116.93506944444445
2016-06-27,1055.1317708333333
2016-06-28,1018.5246527777776
2016-06-29,169.08038194444444
2016-06-30,76.95920138888889
2016-07-01,100.58802083333333
2016-07-02,265.4164930555555
2016-07-03,1165.414236111111
2016-07-04,157.51944444444445
